0.015,0.556
0.016,0.554
0.017,0.549
0.018,0.543
0.019,0.54
0.02,0.537
0.021,0.533
0.022,0.53
0.023,0.527
0.024,0.524
0.025,0.521
0.026,0.518
0.027,0.516
0.028,0.513
0.03,0.51
0.031,0.508
0.032,0.505
0.033,0.503
0.034,0.501
0.036,0.499
0.037,0.497
0.038,0.495
0.039,0.494
0.041,0.494
0.042,0.493
0.043,0.493
0.044,0.493
0.046,0.492
0.047,0.492
0.048,0.491
0.05,0.491
0.051,0.491
0.052,0.49
0.053,0.49
0.055,0.49
0.056,0.49
0.057,0.489
0.059,0.489
0.06,0.489
0.061,0.488
0.063,0.488
0.064,0.488
0.065,0.488
0.067,0.487
0.068,0.487
0.069,0.487
0.071,0.487
0.072,0.487
0.073,0.486
0.075,0.486
0.076,0.486
0.077,0.486
0.079,0.486
0.08,0.485
0.082,0.485
0.083,0.485
0.084,0.485
0.086,0.485
0.087,0.485
0.088,0.484
0.09,0.484
0.092,0.484
0.095,0.484
0.099,0.483
0.106,0.483
0.113,0.482
0.12,0.482
0.127,0.481
0.134,0.481
0.141,0.481
0.147,0.484
0.148,0.481
0.149,0.484
0.15,0.484
0.151,0.484
0.152,0.484
0.153,0.484
0.154,0.484
0.155,0.481
0.156,0.484
0.157,0.484
0.158,0.484
0.159,0.484
0.16,0.484
0.161,0.484
0.162,0.481
0.163,0.483
0.164,0.483
0.165,0.483
0.166,0.483
0.167,0.483
0.168,0.483
0.169,0.482
0.17,0.483
0.171,0.483
0.172,0.483
0.173,0.483
0.174,0.483
0.175,0.483
0.176,0.482
0.177,0.483
0.178,0.483
0.179,0.483
0.18,0.483
0.181,0.483
0.182,0.483
0.183,0.482
0.184,0.483
0.185,0.483
0.186,0.483
0.187,0.483
0.188,0.483
0.189,0.483
0.19,0.482
0.191,0.483
0.192,0.483
0.193,0.483
0.194,0.483
0.195,0.483
0.196,0.483
0.197,0.483
0.198,0.483
0.199,0.483
0.2,0.483
0.201,0.483
0.202,0.483
0.203,0.483
0.204,0.483
0.205,0.483
0.206,0.483
0.207,0.483
0.208,0.483
0.21,0.483
0.211,0.483
0.212,0.483
0.213,0.483
0.214,0.484
0.215,0.484
0.216,0.484
0.217,0.484
0.218,0.484
0.219,0.484
0.22,0.484
0.221,0.484
0.222,0.484
0.223,0.484
0.224,0.484
0.225,0.484
0.226,0.484
0.227,0.484
0.228,0.484
0.229,0.484
0.23,0.484
0.231,0.484
0.232,0.484
0.233,0.484
0.234,0.485
0.235,0.485
0.236,0.485
0.238,0.485
0.239,0.485
0.24,0.485
0.241,0.485
0.243,0.485
0.244,0.485
0.245,0.485
0.246,0.485
0.248,0.485
0.249,0.485
0.25,0.485
0.251,0.486
0.253,0.486
0.254,0.486
0.255,0.486
0.256,0.486
0.258,0.486
0.259,0.486
0.26,0.486
0.261,0.486
0.262,0.486
0.263,0.486
0.264,0.486
0.266,0.486
0.267,0.486
0.268,0.486
0.27,0.487
0.271,0.487
0.272,0.487
0.274,0.487
0.275,0.487
0.276,0.487
0.278,0.487
0.279,0.487
0.28,0.487
0.282,0.487
0.283,0.487
0.284,0.487
0.286,0.488
0.287,0.488
0.289,0.488
0.29,0.488
0.291,0.488
0.293,0.488
0.294,0.488
0.295,0.488
0.296,0.488
0.297,0.488
0.298,0.488
0.3,0.489
0.301,0.489
0.303,0.489
0.304,0.489
0.305,0.489
0.307,0.489
0.308,0.489
0.31,0.489
0.311,0.489
0.312,0.489
0.314,0.489
0.315,0.49
0.317,0.49
0.318,0.49
0.32,0.49
0.321,0.49
0.323,0.49
0.324,0.49
0.325,0.49
0.327,0.49
0.328,0.491
0.33,0.491
0.331,0.491
0.332,0.491
0.333,0.491
0.334,0.491
0.336,0.491
0.337,0.491
0.339,0.491
0.34,0.491
0.342,0.492
0.343,0.492
0.345,0.492
0.346,0.492
0.347,0.492
0.348,0.492
0.349,0.492
0.351,0.492
0.352,0.492
0.354,0.493
0.355,0.493
0.357,0.493
0.358,0.493
0.36,0.493
0.361,0.493
0.363,0.493
0.364,0.493
0.366,0.493
0.367,0.494
0.369,0.494
0.37,0.494
0.372,0.494
0.374,0.494
0.375,0.494
0.376,0.494
0.377,0.494
0.378,0.495
0.38,0.495
0.381,0.495
0.383,0.495
0.384,0.495
0.386,0.495
0.388,0.495
0.389,0.495
0.39,0.496
0.391,0.496
0.392,0.496
0.394,0.496
0.395,0.496
0.397,0.496
0.398,0.496
0.399,0.496
0.4,0.496
0.402,0.497
0.403,0.497
0.405,0.497
0.407,0.497
0.408,0.497
0.41,0.497
0.411,0.497
0.412,0.498
0.413,0.498
0.415,0.498
0.416,0.498
0.418,0.498
0.419,0.498
0.42,0.498
0.421,0.498
0.423,0.499
